x,y,red,training FLOP,model size,model size (millions),loss,closest model size from chinchilla paper,difference,% difference
576.15403,774.58862,82,2.86E+21,"16,450,387,383.84",16450,2.284458716,16183,267,1.62
577.22388,746.32466,79,2.91E+21,"13,125,527,616.68",13126,2.26436221,12569,557,4.24
498.39822,746.08892,103,9.78E+20,"13,100,832,396.41",13101,2.415234566,12569,532,4.06
463.31005,741.38664,119,6.02E+20,"12,617,831,913.42",12618,2.518762529,12569,49,0.39
578.33191,730.60669,79,2.95E+21,"11,576,696,174.91",11577,2.26436221,11452,125,1.08
499.40016,730.57276,101,9.92E+20,"11,573,558,692.00",11574,2.40458606,11452,122,1.05
615.82063,705.69779,65,4.95E+21,"9,487,796,608.82",9488,2.177054491,9293,195,2.06
499.63418,705.31454,94,9.95E+20,"9,458,792,828.74",9459,2.357255219,9293,166,1.75
561.86369,705.15337,78,2.35E+21,"9,446,622,225.71",9447,2.257369765,9293,154,1.63
574.74731,704.93877,75,2.81E+21,"9,430,441,209.94",9430,2.237511562,9293,137,1.45
571.55457,667.36257,69,2.69E+21,"6,984,971,575.25",6985,2.204152715,6796,189,2.71
683.69735,667.0438,48,1.27E+22,"6,967,206,749.13",6967,2.07561717,6796,171,2.45
492.25024,666.48863,91,8.98E+20,"6,936,375,315.65",6936,2.340648007,6796,140,2.02
164.83637,666.1317,247,9.75E+18,"6,916,625,259.04",6917,4.967006148,6796,121,1.75
411.09137,666.0973,119,2.93E+20,"6,914,724,772.72",6915,2.518762529,6796,119,1.72
531.3582,666.023,84,1.54E+21,"6,910,621,725.08",6911,2.291534027,6796,115,1.66
462.07022,665.79396,101,5.92E+20,"6,897,988,828.81",6898,2.40458606,6796,102,1.48
583.32663,665.53948,69,3.16E+21,"6,883,979,849.31",6884,2.204152715,6796,88,1.28
578.29012,615.85377,69,2.95E+21,"4,628,703,117.04",4629,2.204152715,4516,113,2.44
497.5993,615.8287,88,9.67E+20,"4,627,776,197.78",4628,2.319032957,4516,112,2.42
411.03234,614.79579,109,2.93E+20,"4,589,747,102.23",4590,2.455037629,4516,74,1.61
548.39544,614.77924,77,1.95E+21,"4,589,140,324.30",4589,2.247421655,4516,73,1.59
456.11472,614.29447,98,5.45E+20,"4,571,402,590.16",4571,2.386596437,4516,55,1.2
459.59833,565.66913,94,5.72E+20,"3,099,902,737.68",3100,2.357255219,2980,120,3.87
579.50901,565.12013,70,3.00E+21,"3,086,337,102.40",3086,2.210003218,2980,106,3.43
454.97169,565.0803,94,5.37E+20,"3,085,355,227.17",3085,2.357255219,2980,105,3.4
159.15379,564.63331,242,9.01E+18,"3,074,357,586.01",3074,4.696003606,2980,94,3.06
496.15827,564.61269,85,9.48E+20,"3,073,851,203.15",3074,2.301683389,2980,94,3.06
567.94052,564.04262,70,2.56E+21,"3,059,884,489.50",3060,2.210003218,2980,80,2.61
516.64198,563.95905,81,1.26E+21,"3,057,842,365.06",3058,2.274389746,2980,78,2.55
329.77522,562.36814,135,9.52E+19,"3,019,225,626.13",3019,2.627887803,2980,39,1.29
409.60427,561.04291,106,2.87E+20,"2,987,430,415.89",2987,2.433440531,2980,7,0.23
421.82888,560.92053,106,3.40E+20,"2,984,511,190.00",2985,2.433440531,2980,5,0.17
558.85888,548.94556,72,2.26E+21,"2,712,233,595.44",2712,2.219791475,2639,73,2.69
163.18301,548.57151,228,9.53E+18,"2,704,141,150.10",2704,3.76521377,2639,65,2.4
576.63375,548.38145,69,2.88E+21,"2,700,038,521.94",2700,2.204152715,2639,61,2.26
330.90892,547.26215,129,9.67E+19,"2,676,003,308.44",2676,2.584134797,2639,37,1.38
496.80957,547.02336,82,9.57E+20,"2,670,903,423.87",2671,2.284458716,2639,32,1.2
459.71358,546.88607,92,5.73E+20,"2,667,975,696.15",2668,2.346860811,2639,29,1.09
392.29994,533.11571,110,2.26E+20,"2,390,048,966.08",2390,2.462642371,2298,92,3.85
161.99299,532.29569,229,9.37E+18,"2,374,443,337.86",2374,3.829072707,2298,76,3.2
444.57906,531.98962,96,4.65E+20,"2,368,644,733.60",2369,2.368736316,2298,71,3
500.82816,531.63979,84,1.01E+21,"2,362,034,421.02",2362,2.291534027,2298,64,2.71
442.3491,531.55124,96,4.51E+20,"2,360,364,127.02",2360,2.368736316,2298,62,2.63
540.64257,530.78615,77,1.75E+21,"2,345,981,549.26",2346,2.247421655,2298,48,2.05
488.68072,530.31454,87,8.55E+20,"2,337,159,662.48",2337,2.311871687,2298,39,1.67
404.84514,530.03993,103,2.69E+20,"2,332,038,127.07",2332,2.415234566,2298,34,1.46
392.39622,529.61013,110,2.26E+20,"2,324,044,784.52",2324,2.462642371,2298,26,1.12
496.82402,515.19361,85,9.57E+20,"2,071,226,653.41",2071,2.301683389,2007,64,3.09
380.58044,514.94357,113,1.92E+20,"2,067,093,560.45",2067,2.485595964,2007,60,2.9
410.13251,514.81753,100,2.89E+20,"2,065,013,281.21",2065,2.397160598,2007,58,2.81
460.33349,514.78768,89,5.78E+20,"2,064,520,916.26",2065,2.330332894,2007,58,2.81
527.89454,514.46534,79,1.47E+21,"2,059,211,507.35",2059,2.26436221,2007,52,2.53
163.13343,514.18289,219,9.52E+18,"2,054,570,370.33",2055,3.440709433,2007,48,2.34
329.90788,514.12506,128,9.54E+19,"2,053,621,415.31",2054,2.576156055,2007,47,2.29
430.89364,512.91919,100,3.85E+20,"2,033,933,376.61",2034,2.397160598,2007,27,1.33
391.19016,502.27246,110,2.22E+20,"1,868,094,389.88",1868,2.462642371,1794,74,3.96
155.94778,501.37035,218,8.62E+18,"1,854,680,149.41",1855,3.414970177,1794,61,3.29
494.67486,501.26661,85,9.29E+20,"1,853,143,739.67",1853,2.301683389,1794,59,3.18
329.05881,501.22184,128,9.43E+19,"1,852,481,080.41",1852,2.576156055,1794,58,3.13
242.19364,501.07559,165,2.84E+19,"1,850,318,024.68",1850,2.83535883,1794,56,3.03
370.33739,500.70845,117,1.67E+20,"1,844,899,100.32",1845,2.503231601,1794,51,2.76
444.07103,500.20702,97,4.62E+20,"1,837,523,708.12",1838,2.376072648,1794,44,2.39
456.19189,500.11149,92,5.46E+20,"1,836,121,931.69",1836,2.346860811,1794,42,2.29
345.10664,499.23993,124,1.18E+20,"1,823,382,222.48",1823,2.553493472,1794,29,1.59
406.59632,496.96254,104,2.75E+20,"1,790,509,002.81",1791,2.425927071,1794,3,0.17
516.96761,496.29695,82,1.26E+21,"1,781,013,872.35",1781,2.284458716,1794,13,0.73
467.91722,496.06112,92,6.42E+20,"1,777,661,679.06",1778,2.346860811,1794,16,0.9
418.14317,491.70334,104,3.23E+20,"1,716,841,372.83",1717,2.425927071,1731,14,0.82
163.61024,488.2269,211,9.59E+18,"1,669,817,326.97",1670,3.286191525,1609,61,3.65
497.41985,487.87386,87,9.65E+20,"1,665,114,572.22",1665,2.311871687,1609,56,3.36
374.94453,486.72771,115,1.78E+20,"1,649,938,108.30",1650,2.492193504,1609,41,2.48
240.79945,486.34564,163,2.78E+19,"1,644,909,825.31",1645,2.822863552,1609,36,2.19
364.96319,486.28895,115,1.55E+20,"1,644,165,055.70",1644,2.492193504,1609,35,2.13
337.10324,485.9039,130,1.05E+20,"1,639,115,345.04",1639,2.595580108,1609,30,1.83
292.39462,485.89198,140,5.68E+19,"1,638,959,268.79",1639,2.658247778,1609,30,1.83
484.32444,485.6502,88,8.05E+20,"1,635,796,693.20",1636,2.319032957,1609,27,1.65
437.72475,485.53378,98,4.23E+20,"1,634,276,052.15",1634,2.386596437,1609,25,1.53
388.45721,485.37561,110,2.14E+20,"1,632,212,350.49",1632,2.462642371,1609,23,1.41
323.70875,484.30108,132,8.75E+19,"1,618,261,384.68",1618,2.607069326,1609,9,0.56
474.61563,483.81753,89,7.04E+20,"1,612,022,266.08",1612,2.330332894,1609,3,0.19
418.08002,478.73252,103,3.22E+20,"1,547,850,581.88",1548,2.415234566,1593,45,2.91
495.74097,474.06328,89,9.43E+20,"1,491,178,081.01",1491,2.330332894,1429,62,4.16
460.08747,473.07828,94,5.76E+20,"1,479,490,358.11",1479,2.357255219,1429,50,3.38
163.11717,473.06935,203,9.52E+18,"1,479,384,817.44",1479,3.183308581,1429,50,3.38
242.62057,472.80667,161,2.86E+19,"1,476,283,656.52",1476,2.805457509,1429,47,3.18
292.45253,471.54708,140,5.68E+19,"1,461,503,209.83",1462,2.658247778,1429,33,2.26
407.61665,470.5054,101,2.79E+20,"1,449,391,650.14",1449,2.40458606,1429,20,1.38
369.21576,470.45766,115,1.64E+20,"1,448,838,991.34",1449,2.492193504,1429,20,1.38
373.52623,470.28452,115,1.74E+20,"1,446,836,415.58",1447,2.492193504,1429,18,1.24
428.66481,470.01588,101,3.73E+20,"1,443,734,743.27",1444,2.40458606,1429,15,1.04
382.32321,467.49075,99,1.97E+20,"1,414,903,067.63",1415,2.391878518,1424,9,0.64
160.18404,459.31244,199,9.14E+18,"1,325,417,652.78",1325,3.131692085,1266,59,4.45
331.13567,459.18707,124,9.70E+19,"1,324,090,867.50",1324,2.553493472,1266,58,4.38
456.21122,459.01099,96,5.46E+20,"1,322,229,662.80",1322,2.368736316,1266,56,4.24
293.05556,458.7304,139,5.73E+19,"1,319,269,168.94",1319,2.646526132,1266,53,4.02
407.84822,458.59015,106,2.80E+20,"1,317,791,882.39",1318,2.433440531,1266,52,3.95
243.38522,457.62306,156,2.89E+19,"1,307,650,225.50",1308,2.768515802,1266,42,3.21
311.19951,456.52168,139,7.37E+19,"1,296,195,324.53",1296,2.646526132,1266,30,2.31
497.03145,455.83221,89,9.60E+20,"1,289,075,618.28",1289,2.330332894,1266,23,1.78
360.77335,454.43829,119,1.46E+20,"1,274,800,747.83",1275,2.518762529,1266,9,0.71
161.31774,446.39431,196,9.29E+18,"1,195,458,262.98",1195,3.094556701,1143,52,4.35
341.07358,445.30785,119,1.11E+20,"1,185,127,400.89",1185,2.518762529,1143,42,3.54
242.04168,445.1019,154,2.83E+19,"1,183,179,165.84",1183,2.756315098,1143,40,3.38
389.88036,445.07204,108,2.18E+20,"1,182,896,963.73",1183,2.444218407,1143,40,3.38
324.62052,444.75864,124,8.87E+19,"1,179,939,127.69",1180,2.553493472,1143,37,3.14
284.75786,443.96767,137,5.11E+19,"1,172,506,883.56",1173,2.639520029,1143,30,2.56
433.9353,442.56779,98,4.01E+20,"1,159,467,657.28",1159,2.386596437,1143,16,1.38
455.82525,441.53207,96,5.43E+20,"1,149,913,831.87",1150,2.368736316,1143,7,0.61
406.6012,441.48731,106,2.75E+20,"1,149,502,729.99",1150,2.433440531,1143,7,0.61
296.28298,441.13808,134,5.99E+19,"1,146,300,241.26",1146,2.615145002,1143,3,0.26
276.84129,429.99289,141,4.58E+19,"1,048,651,332.79",1049,2.670014392,1018,31,2.96
161.87734,429.81082,193,9.36E+18,"1,047,127,190.77",1047,3.070049201,1018,29,2.77
242.48309,428.9333,152,2.85E+19,"1,039,812,316.92",1040,2.74416102,1018,22,2.12
382.09405,428.68854,109,1.96E+20,"1,037,781,164.04",1038,2.455037629,1018,20,1.93
334.59463,428.39008,124,1.02E+20,"1,035,309,747.14",1035,2.553493472,1018,17,1.64
328.48714,428.12442,124,9.35E+19,"1,033,114,884.02",1033,2.553493472,1018,15,1.45
289.09003,427.00215,135,5.43E+19,"1,023,894,004.50",1024,2.627887803,1018,6,0.59
372.67234,414.00638,113,1.72E+20,"922,926,895.95",923,2.485595964,893,30,3.25
318.55164,413.00945,128,8.15E+19,"915,605,810.69",916,2.576156055,893,23,2.51
272.74312,411.62752,141,4.33E+19,"905,553,375.60",906,2.670014392,893,13,1.43
354.06524,403.12386,117,1.33E+20,"846,079,831.28",846,2.503231601,816,30,3.55
160.01868,402.71727,190,9.12E+18,"843,336,143.79",843,3.04842025,816,27,3.2
407.08995,402.30463,108,2.77E+20,"840,560,727.35",841,2.444218407,816,25,2.97
412.20212,402.17468,108,2.97E+20,"839,688,576.31",840,2.444218407,816,24,2.86
240.18435,401.55087,156,2.76E+19,"835,514,497.64",836,2.768515802,816,20,2.39
259.33897,401.25836,146,3.60E+19,"833,564,387.60",834,2.703248584,816,18,2.16
329.71734,400.94496,126,9.51E+19,"831,480,058.32",831,2.564801401,816,15,1.81
455.25117,400.80765,100,5.39E+20,"830,568,493.48",831,2.397160598,816,15,1.81
289.19375,400.45247,135,5.43E+19,"828,215,180.45",828,2.627887803,816,12,1.45
309.89215,399.31526,130,7.23E+19,"820,725,136.70",821,2.595580108,816,5,0.61
349.11557,387.77311,119,1.24E+20,"748,433,547.61",748,2.518762529,724,24,3.21
298.25365,386.68066,134,6.16E+19,"741,930,261.77",742,2.615145002,724,18,2.43
251.53818,385.72255,150,3.23E+19,"736,273,222.29",736,2.7272502,724,12,1.63
284.57454,380.25442,135,5.10E+19,"704,803,095.33",705,2.627887803,724,19,2.7
160.29019,376.63987,185,9.16E+18,"684,742,737.59",685,2.997673393,664,21,3.07
322.37243,375.24296,126,8.59E+19,"677,143,909.57",677,2.564801401,664,13,1.92
388.5537,375.05492,112,2.14E+20,"676,127,481.15",676,2.474642073,664,12,1.78
238.47391,373.69686,150,2.70E+19,"668,831,804.62",669,2.7272502,664,5,0.75
238.99277,370.04347,150,2.72E+19,"649,593,688.73",650,2.7272502,664,14,2.15
339.22106,369.67335,123,1.08E+20,"647,675,840.71",648,2.545608178,632,16,2.47
291.32364,369.37786,135,5.60E+19,"646,148,767.96",646,2.627887803,632,14,2.17
455.00516,369.09433,108,5.37E+20,"644,686,888.64",645,2.444218407,632,13,2.02
159.54282,368.26844,184,9.06E+18,"640,447,425.28",640,2.984455036,632,8,1.25
375.2967,362.08902,117,1.79E+20,"609,599,387.51",610,2.503231601,632,22,3.61
228.06346,361.65924,157,2.34E+19,"607,510,008.99",608,2.777091576,587,21,3.45
405.6339,360.42947,110,2.72E+20,"601,570,951.65",602,2.462642371,587,15,2.49
322.02267,360.22352,128,8.55E+19,"600,582,027.07",601,2.576156055,587,14,2.33
276.92815,359.86834,139,4.59E+19,"598,880,352.23",599,2.646526132,587,12,2
212.37505,357.50738,161,1.88E+19,"587,690,836.56",588,2.805457509,587,1,0.17
264.1198,356.40897,143,3.84E+19,"582,556,538.20",583,2.678285047,587,4,0.69
159.01832,354.94872,184,9.00E+18,"575,800,277.75",576,2.984455036,587,11,1.91
121.93268,354.17644,203,5.39E+18,"572,258,841.75",572,3.183308581,587,15,2.62
239.18331,351.46019,152,2.72E+19,"559,975,102.06",560,2.74416102,552,8,1.43
316.40727,349.05745,129,7.91E+19,"549,329,117.19",549,2.584134797,552,3,0.55
287.61141,348.21575,137,5.32E+19,"545,647,807.18",546,2.639520029,552,6,1.1
217.01114,344.33551,159,2.00E+19,"528,993,405.23",529,2.789389691,509,20,3.78
267.05775,341.48804,143,4.00E+19,"517,096,034.80",517,2.678285047,509,8,1.55
306.56824,339.139,134,6.91E+19,"507,482,904.54",507,2.615145002,509,2,0.39
203.07872,337.94212,165,1.65E+19,"502,653,771.44",503,2.83535883,509,6,1.19
355.85504,336.19301,124,1.36E+20,"495,679,045.63",496,2.553493472,489,7,1.41
255.56158,335.68264,146,3.41E+19,"493,662,201.26",494,2.703248584,489,5,1.01
122.84156,322.43874,198,5.46E+18,"444,100,551.33",444,3.122021289,425,19,4.28
160.78225,321.33175,181,9.22E+18,"440,190,541.47",440,2.962126614,425,15,3.41
324.06573,319.89611,130,8.80E+19,"435,170,931.73",435,2.595580108,425,10,2.3
406.54085,319.83041,119,2.75E+20,"434,942,591.20",435,2.518762529,425,10,2.3
246.65123,319.76773,150,3.02E+19,"434,724,858.36",435,2.7272502,425,10,2.3
233.95385,319.74386,154,2.53E+19,"434,641,969.30",435,2.756315098,425,10,2.3
290.90152,319.45731,137,5.56E+19,"433,648,151.40",434,2.639520029,425,9,2.07
295.70165,319.33497,137,5.95E+19,"433,224,542.08",433,2.639520029,425,8,1.85
115.91784,283.69522,193,4.96E+18,"325,884,742.55",326,3.070049201,306,20,6.13
157.33533,282.6042,180,8.79E+18,"323,056,756.62",323,2.949066921,306,17,5.26
261.68355,282.28778,146,3.72E+19,"322,241,178.24",322,2.703248584,306,16,4.97
238.684,281.90277,152,2.70E+19,"321,251,584.20",321,2.74416102,306,15,4.67
170.31977,280.32379,175,1.05E+19,"317,224,808.41",317,2.914097094,306,11,3.47
316.59782,279.08212,137,7.94E+19,"314,093,737.45",314,2.639520029,306,8,2.55
216.56729,278.62247,157,1.99E+19,"312,942,509.94",313,2.777091576,306,7,2.24
121.81981,269.65845,193,5.38E+18,"291,316,223.34",291,3.070049201,278,13,4.47
304.64096,269.15771,140,6.73E+19,"290,153,221.67",290,2.658247778,278,12,4.14
232.51344,268.90617,156,2.48E+19,"289,570,756.57",290,2.768515802,278,12,4.14
158.74044,268.69555,178,8.96E+18,"289,083,945.19",289,2.93996008,278,11,3.81
208.82438,267.76287,161,1.79E+19,"286,938,035.47",287,2.805457509,278,9,3.14
285.52492,267.0803,145,5.17E+19,"285,377,680.08",285,2.69133551,278,7,2.46
257.13669,267.04448,148,3.49E+19,"285,296,030.27",285,2.710423842,278,7,2.46
198.8527,254.56212,166,1.56E+19,"258,219,634.86",258,2.844141658,251,7,2.71
149.62379,254.35021,183,7.90E+18,"257,782,872.81",258,2.97524027,251,7,2.71
300.59823,254.32932,143,6.36E+19,"257,739,857.01",258,2.678285047,251,7,2.71
118.77474,241.05478,194,5.16E+18,"231,807,091.21",232,3.085001986,217,15,6.47
132.03991,237.33696,188,6.20E+18,"225,023,597.26",225,3.020269175,217,8,3.56
229.91529,237.19086,157,2.40E+19,"224,761,117.03",225,2.777091576,217,8,3.56
283.4095,237.00262,146,5.02E+19,"224,423,380.27",224,2.703248584,217,7,3.13
234.26404,236.80405,157,2.54E+19,"224,067,659.65",224,2.777091576,217,7,3.13
158.07825,235.65648,180,8.88E+18,"222,022,906.34",222,2.949066921,217,5,2.25
120.82987,226.83174,190,5.31E+18,"206,909,824.75",207,3.04842025,217,10,4.83
174.87124,224.95861,172,1.12E+19,"203,836,733.31",204,2.891018753,196,8,3.92
273.50533,223.67556,152,4.38E+19,"201,758,118.83",202,2.74416102,196,6,2.97
222.93287,221.95632,161,2.18E+19,"199,006,043.65",199,2.805457509,196,3,1.51
154.82915,213.15121,178,8.49E+18,"185,488,803.52",185,2.93996008,175,10,5.41
239.76032,212.58722,161,2.75E+19,"184,654,963.29",185,2.805457509,175,10,5.41
116.44177,211.31215,190,5.00E+18,"182,783,605.85",183,3.04842025,175,8,4.37
266.60898,211.12747,156,3.98E+19,"182,514,137.03",183,2.768515802,175,8,4.37
164.61407,210.90397,178,9.72E+18,"182,188,556.73",182,2.93996008,175,7,3.85
128.37302,210.22328,190,5.89E+18,"181,200,545.38",181,3.04842025,175,6,3.31
211.75513,208.90088,168,1.86E+19,"179,296,391.18",179,2.858000289,175,4,2.23
148.87579,202.30791,181,7.82E+18,"170,097,452.90",170,2.962126614,175,5,2.94
249.47438,201.80935,159,3.14E+19,"169,421,335.04",169,2.789389691,163,6,3.55
97.84359,201.77492,197,3.86E+18,"169,374,742.42",169,3.108262705,163,6,3.55
120.19887,183.41759,192,5.26E+18,"146,271,421.68",146,3.0565117,140,6,4.11
157.6463,183.37071,183,8.83E+18,"146,216,652.34",146,2.97524027,140,6,4.11
187.86547,183.28471,173,1.34E+19,"146,116,232.89",146,2.905099564,140,6,4.11
233.78473,183.12574,165,2.53E+19,"145,930,790.23",146,2.83535883,140,6,4.11
230.17581,183.07843,165,2.40E+19,"145,875,647.34",146,2.83535883,140,6,4.11
137.73985,182.70023,186,6.71E+18,"145,435,578.97",145,3.010942458,140,5,3.45
87.38497,182.4036,199,3.34E+18,"145,091,353.50",145,3.131692085,140,5,3.45
74.57832,160.49217,204,2.80E+18,"121,792,830.85",122,3.197399352,117,5,4.1
121.05331,160.13118,193,5.33E+18,"121,442,109.21",121,3.070049201,117,4,3.31
170.75877,158.73259,180,1.06E+19,"120,092,812.17",120,2.949066921,117,3,2.5
155.04121,148.49637,185,8.52E+18,"110,663,228.61",111,2.997673393,106,5,4.5
151.37296,148.14119,185,8.10E+18,"110,349,678.05",110,2.997673393,106,4,3.64
50.65435,147.79686,212,2.01E+18,"110,046,553.93",110,3.300746294,106,4,3.64
110.89689,147.69258,196,4.63E+18,"109,954,917.47",110,3.094556701,106,4,3.64
39.54143,128.11072,214,1.73E+18,"94,032,306.93",94,3.334462924,90,4,4.26
89.50379,127.78835,203,3.44E+18,"93,790,457.90",94,3.183308581,90,4,4.26
138.16238,124.89096,190,6.74E+18,"91,644,501.39",92,3.04842025,90,2,2.17
130.10395,104.62683,196,6.03E+18,"77,947,424.52",78,3.094556701,74,4,5.13
75.32163,103.99434,206,2.83E+18,"77,554,571.19",78,3.222931847,74,4,5.13
22.56313,103.43994,218,1.37E+18,"77,211,849.98",77,3.414970177,74,3,3.9
173.45242,102.06229,190,1.10E+19,"76,366,752.20",76,3.04842025,74,2,2.63
118.85532,101.46714,197,5.17E+18,"76,004,533.82",76,3.108262705,74,2,2.63
126.39025,71.77165,201,5.73E+18,"59,953,366.00",60,3.159486255,57,3,5